Date,Open,High,Low,Close,Adj Close,Volume
2021-05-10,76.870003,79.209999,75.580002,78.230003,78.230003,1415200
2021-05-11,76.500000,78.040001,76.010002,77.120003,77.120003,1095800
2021-05-12,76.559998,77.419998,72.910004,73.190002,73.190002,923700
2021-05-13,73.500000,77.279999,73.489998,76.550003,76.550003,1518500
2021-05-14,77.160004,80.300003,77.070000,79.059998,79.059998,1080900
2021-05-17,78.010002,79.559998,77.690002,78.940002,78.940002,1105400
2021-05-18,78.650002,80.900002,78.599998,78.610001,78.610001,1250000
2021-05-19,77.430000,77.430000,75.669998,76.709999,76.709999,812900
2021-05-20,76.599998,78.599998,76.110001,77.570000,77.570000,980600
2021-05-21,78.290001,78.680000,77.370003,77.529999,77.529999,489500
2021-05-24,78.160004,79.379997,77.599998,78.459999,78.459999,757100
2021-05-25,78.889999,79.794998,78.120003,79.000000,79.000000,777100
2021-05-26,79.290001,80.650002,79.047997,80.239998,80.239998,599000
2021-05-27,80.430000,80.709999,79.220001,79.669998,79.669998,633100
2021-05-28,79.650002,79.959999,78.349998,78.769997,78.769997,445700
2021-06-01,78.349998,79.550003,77.580002,77.629997,77.629997,989100
2021-06-02,77.510002,77.720001,75.860001,76.239998,76.239998,1043200
2021-06-03,75.900002,75.900002,73.940002,75.199997,75.199997,966200
2021-06-04,75.930000,76.336998,73.839996,75.400002,75.400002,948300
2021-06-07,75.400002,75.809998,74.161003,74.809998,74.809998,653600
2021-06-08,75.220001,76.930000,74.918999,76.730003,76.730003,658600
2021-06-09,76.949997,77.150002,76.050003,76.199997,76.199997,756200
2021-06-10,76.320000,76.410004,74.610001,75.889999,75.889999,1140300
2021-06-11,76.629997,76.989998,74.644997,75.160004,75.160004,642800
2021-06-14,75.269997,76.059998,74.820000,75.830002,75.830002,741400
2021-06-15,76.239998,76.239998,74.480003,74.580002,74.580002,710900
2021-06-16,74.459999,74.550003,71.839996,73.019997,73.019997,1062000
2021-06-17,72.849998,75.230003,72.239998,74.220001,74.220001,1330500
2021-06-18,73.529999,74.989998,73.430000,74.370003,74.370003,1022500
2021-06-21,75.000000,76.330002,74.209999,76.120003,76.120003,921400
2021-06-22,76.209999,77.419998,75.510002,77.070000,77.070000,731100
2021-06-23,76.809998,78.339996,76.550003,77.889999,77.889999,669600
